Lag,P_Value
1,0.23339164321673916
2,0.4470461730469162
3,0.23483851657713536
4,0.1850819758325222
5,0.04915645550011303
6,0.08885088920647066
7,0.09661980517397992
8,0.08040003919564985
9,0.10729461343993935
10,0.13609835520187302
11,0.16892975052165587
12,0.243486755127866
13,0.25427719333278515
14,0.3270102509419193
15,0.3008960376611713
16,0.3483509168605567
17,0.37402805566341435
18,0.42387058132686123
19,0.36790102006156933
20,0.10064008915159994
21,0.07006667713225377
22,0.028029948850572223
23,0.03385129345080278
24,0.025074403119697015
25,0.0343194717906011
26,0.04569008061988271
27,0.04908712397891192
28,0.052473585611924355
29,0.07034170295601945
30,0.05852668692262989
31,0.053406223819880534
32,0.06774655441641812
33,0.07035017557741775
34,0.09297556431557777
35,0.1171438240966658
36,0.14321485903415182
37,0.14919089105953828
38,0.16556457061666932
39,0.18868760839304963
40,0.22072620305706195
41,0.23832691948482815
42,0.29096795484929444
43,0.3275631650496302
44,0.35763444026614977
45,0.34538065884551067
46,0.3753371179784798
47,0.4242767783471049
48,0.39794468066952754
49,0.31820089017654196
50,0.2558843288115582
51,0.27203215520885565
52,0.30181025621774976
53,0.33152275335900133
54,0.3782685509756982
55,0.41226382759787555
56,0.4117845336752349
57,0.4161185448771334
58,0.44418221798813434
59,0.4824665710612286
60,0.4947117269993334
61,0.5076425437850185
62,0.46682368676598984
63,0.5064220666928705
64,0.5304684241610633
65,0.5427183191005125
66,0.5641045281101587
67,0.46714509125814097
68,0.4707227803893125
69,0.5051202686716063
70,0.4974162347379121
71,0.3727745808454608
72,0.37290790052782957
73,0.39153662890670177
74,0.43372469386866547
75,0.43653368019579614
76,0.47775321663171777
77,0.5045540675435713
78,0.4564937606627656
79,0.42010585809127693
80,0.35118211834793506
81,0.3806199763460197
82,0.3457114419378675
83,0.33256092276195337
84,0.36733807179504596
85,0.37575556966431867
86,0.39969051041589115
87,0.4410232987709962
88,0.40303673432119375
89,0.3692674651392019
90,0.3840389815657725
91,0.25479277801597333
92,0.11227642649669124
93,0.12006185155393784
94,0.11840542249578301
95,0.1301110442970197
96,0.14142655533448967
97,0.164462910023552
98,0.1799576560652079
99,0.19832970351078077
100,0.22662414511872014
101,0.23921656298732275
102,0.23120037871022328
103,0.25850407371377343
104,0.223853024214928
105,0.1867216317183254
106,0.19489174619583216
107,0.14284614881945595
108,0.10472539312766488
109,0.11954135910356353
110,0.13414515892770942
111,0.14883618808022178
112,0.16958595048044692
113,0.1687253716417608
114,0.1901100254913154
115,0.19660730730277573
116,0.203722858214984
117,0.18981043127473796
118,0.1990505093857874
119,0.202092346412544
120,0.18581845538811764
121,0.13333507578469914
122,0.14528891094600685
123,0.1242280013070901
124,0.11175433610917943
125,0.1349258609085321
126,0.1381524153252068
127,0.16213175744721994
128,0.16103169243800564
129,0.15196207145133658
130,0.16208954254262098
131,0.12939878667147714
132,0.1378481473386236
133,0.1484274514191378
134,0.16413864259817845
135,0.14306916342744042
136,0.16356427856093053
137,0.18298266404273017
138,0.16059174459398814
139,0.12994538757608598
140,0.11895787986683552
141,0.13657692110081684
142,0.15844330587461272
143,0.13734703119104394
144,0.1514030082466148
145,0.15844249227308604
146,0.16300456247381528
147,0.19310370802353902
148,0.22644638568190392
149,0.25381559559632644
150,0.26806305449874424
151,0.26855095631534753
152,0.2862617981064249
153,0.2903002849540437
154,0.3145523937247947
155,0.3277645660527258
156,0.36507755748331344
157,0.3481191717229344
158,0.3380115731007604
159,0.35964466802196726
160,0.382147195742774
161,0.3986375947408916
162,0.3928473238345645
163,0.40888607598073223
164,0.4338354728442936
165,0.431544286344369
166,0.4657434209050019
167,0.3906557117216698
168,0.317986366794949
169,0.3474469870711816
170,0.35159674203379065
171,0.4119362366157243
172,0.40083716667422675
173,0.4125802846215363
174,0.47326949618422687
175,0.5005274892180002
176,0.5361025464563138
177,0.4832708348731673
178,0.5265501298800004
179,0.5503139121910816
180,0.48353335103624745
